Record_ID,Company,Date,Month,Month_Name,Quarter,Year,Department,Region,Business_Unit,Project_Type,Client_Segment,Employees_Assigned,Hourly_Rate_EUR,Revenue,Visible_Cost,Gross_Margin,Delay_Hours,Rework_Hours,Meeting_Hours,Overtime_Hours,Idle_Hours,Incidents,SLA_Breaches,Manual_Tasks,Automation_Level,Customer_Satisfaction,Employee_Satisfaction,Productivity_Score,Delay_Cost,Rework_Cost,Meeting_Cost,Overtime_Cost,Idle_Cost,Incident_Cost,SLA_Breach_Cost,Manual_Process_Cost,Hidden_Cost,Profit_After_Hidden_Cost,Hidden_Cost_Rate,Risk_Level
OT-01409,OrionTech,2025-01-01,1,Jan,Q1,2025,Customer Support,LATAM,Cybersecurity,Client Delivery,Strategic Accounts,49,39.21,23270.2,14774.67,8495.53,7.1,1.7,9.7,8.6,4.9,3,1,30,61.3,73.9,67.4,72.8,375.83,79.99,3354.57,505.81,163.31,1014.59,935.39,250.38,6679.87,1815.66,0.2871,High
OT-01482,OrionTech,2025-01-01,1,Jan,Q1,2025,IT,Europe,Banking Solutions,Internal Operations,Mid-Market,45,55.97,42126.83,28105.17,14021.66,6.0,5.5,10.8,2.9,3.7,5,0,27,40.8,71.0,76.5,71.3,453.36,369.4,4896.26,243.47,176.03,2864.08,0.0,492.04,9494.64,4527.02,0.2254,High
OT-01488,OrionTech,2025-01-01,1,Jan,Q1,2025,Controlling,Europe,Corporate Services,Client Delivery,SME,29,60.5,12416.18,6036.84,6379.34,2.5,1.0,6.7,4.6,0.4,1,0,19,76.7,95.1,72.8,83.9,204.19,72.6,2115.93,417.45,20.57,289.97,0.0,147.31,3268.02,3111.32,0.2632,High
OT-02442,OrionTech,2025-01-01,1,Jan,Q1,2025,Customer Support,Europe,Telecom Platforms,Support,Public Sector,36,38.14,27911.61,16821.6,11090.01,3.4,7.0,12.7,7.9,3.3,6,1,43,60.2,57.1,68.6,80.5,175.06,320.38,3138.77,451.96,106.98,2232.85,848.65,359.0,7633.65,3456.36,0.2735,High
OT-01949,OrionTech,2025-01-01,1,Jan,Q1,2025,Controlling,Spain,Telecom Platforms,Transformation,Mid-Market,23,31.56,13455.97,7770.72,5685.25,4.4,1.0,10.1,6.6,2.8,1,2,25,57.1,85.2,67.1,81.3,187.47,37.87,1319.65,312.44,75.11,367.2,989.66,186.16,3475.56,2209.69,0.2583,High
OT-02316,OrionTech,2025-01-01,1,Jan,Q1,2025,HR,Spain,Telecom Platforms,Transformation,Mid-Market,34,46.76,23143.51,11146.85,11996.66,2.3,1.3,12.5,2.8,0.5,2,0,44,70.2,92.1,70.4,71.8,145.19,72.95,3577.14,196.39,19.87,545.13,0.0,337.21,4893.88,7102.78,0.2115,High
OT-03674,OrionTech,2025-01-01,1,Jan,Q1,2025,Sales,Europe,Cloud & Data,Compliance,Enterprise,36,49.55,24813.02,18501.36,6311.66,1.7,4.8,9.4,4.7,1.1,2,1,30,25.9,70.4,74.0,74.0,113.72,285.41,3018.19,349.33,46.33,695.29,579.35,605.82,5693.44,618.22,0.2295,High
OT-02259,OrionTech,2025-01-01,1,Jan,Q1,2025,Finance,North America,Digital Services,Support,Mid-Market,19,50.98,34659.21,18195.57,16463.64,3.6,4.1,13.7,4.4,0.4,1,0,22,79.9,79.7,76.6,88.1,247.76,250.82,2388.62,336.47,17.33,679.72,0.0,123.99,4044.71,12418.93,0.1167,Medium
OT-04691,OrionTech,2025-01-01,1,Jan,Q1,2025,IT,North America,Digital Services,Transformation,Mid-Market,35,80.8,60927.5,36776.65,24150.85,5.6,7.0,6.0,3.2,2.0,6,4,44,49.9,81.9,79.6,81.6,610.85,678.72,3054.24,387.84,137.36,3309.66,1219.94,979.64,10378.25,13772.6,0.1703,Medium
OT-01996,OrionTech,2025-01-02,1,Jan,Q1,2025,Operations,Europe,Corporate Services,Transformation,Enterprise,49,49.11,12689.33,8140.07,4549.26,2.9,7.5,5.4,1.1,4.3,3,2,41,51.3,80.1,80.9,71.3,192.27,441.99,2339.01,81.03,179.5,1614.27,1177.3,539.32,6564.69,-2015.43,0.5173,High
OT-03191,OrionTech,2025-01-02,1,Jan,Q1,2025,Operations,North America,Corporate Services,Commercial Growth,Enterprise,39,47.55,21055.36,13638.19,7417.17,20.0,0.8,13.4,1.9,1.9,5,1,49,47.9,76.6,75.6,62.3,1283.85,45.65,4472.93,135.52,76.79,2164.16,808.06,667.65,9654.61,-2237.44,0.4585,High
OT-04627,OrionTech,2025-01-02,1,Jan,Q1,2025,Operations,Spain,Cybersecurity,Transformation,Strategic Accounts,24,43.4,20602.87,12590.76,8012.11,12.6,4.5,6.1,6.9,0.5,1,0,42,51.0,79.3,72.7,68.7,738.23,234.36,1143.68,449.19,18.45,545.81,0.0,491.24,3620.96,4391.15,0.1758,Medium
OT-04111,OrionTech,2025-01-02,1,Jan,Q1,2025,Customer Support,Spain,Cloud & Data,Commercial Growth,SME,5,45.41,37400.24,21330.76,16069.48,11.3,1.9,7.6,8.3,4.9,5,3,44,40.0,62.4,55.0,73.3,692.73,103.53,310.6,565.35,189.13,2175.61,1630.71,659.35,6327.01,9742.47,0.1692,Medium
OT-01739,OrionTech,2025-01-02,1,Jan,Q1,2025,Legal & Compliance,North America,Banking Solutions,Client Delivery,Mid-Market,42,77.69,29520.76,19900.23,9620.53,6.6,3.7,10.5,0.9,1.3,1,0,28,46.2,73.2,78.2,68.0,692.22,344.94,6167.03,104.88,85.85,973.22,0.0,643.68,9011.82,608.71,0.3053,High
OT-01622,OrionTech,2025-01-02,1,Jan,Q1,2025,Legal & Compliance,North America,Corporate Services,Support,SME,42,60.48,13202.61,5859.57,7343.04,2.6,1.9,7.1,3.1,1.5,1,0,15,65.7,92.9,79.9,59.7,212.28,137.89,3246.32,281.23,77.11,890.29,0.0,171.14,5016.26,2326.78,0.3799,High
OT-01913,OrionTech,2025-01-02,1,Jan,Q1,2025,Controlling,Europe,Telecom Platforms,Transformation,Enterprise,44,43.94,15734.91,8307.72,7427.19,3.0,3.7,1.4,5.6,1.5,0,3,2,95.0,95.9,92.3,96.8,177.96,195.09,487.21,369.1,56.02,0.0,2127.23,2.42,3415.03,4012.16,0.217,High
OT-01294,OrionTech,2025-01-03,1,Jan,Q1,2025,Controlling,North America,Telecom Platforms,Support,Mid-Market,22,47.45,26065.26,12570.43,13494.83,1.1,1.9,8.2,1.4,1.2,2,0,31,81.6,96.5,78.2,79.1,70.46,108.19,1540.8,99.65,48.4,679.77,0.0,148.86,2696.13,10798.7,0.1034,Medium
